emp_no,first_name,last_name,birth_date,from_date,to_date,title
499194,Padma,Delgrange,1965-01-29,1998-01-02,1999-08-27,Senior Staff
499160,Urs,Rande,1965-01-12,1990-01-25,1991-03-01,Staff
497660,Gritta,Petereit,1965-01-02,1985-04-06,1994-09-05,Senior Engineer
497409,Reinhard,Erde,1965-01-21,1992-12-04,1996-03-13,Engineer
497007,Oldrich,Adachi,1965-01-23,1997-04-03,1998-08-09,Engineer
495969,Geoffrey,Panienski,1965-01-01,1988-11-28,1998-06-07,Senior Engineer
494978,Bezalel,Himler,1965-01-23,1999-07-09,2002-06-12,Staff
493278,Shaleah,Pileggi,1965-01-28,1999-02-10,1999-10-30,Engineer
491596,Charmane,Pargas,1965-01-21,1988-07-29,1992-08-03,Senior Engineer
491494,Saniya,Broomell,1965-01-19,1992-08-04,1997-09-02,Staff
490720,Younwoo,Samarati,1965-01-19,1996-08-19,2002-05-18,Senior Engineer
490240,Kazunori,Orlowska,1965-01-18,1996-06-18,2000-10-26,Staff
489755,Matk,Chorvat,1965-01-14,1994-12-30,1999-12-04,Staff
489465,Bogdan,Pepe,1965-01-17,1995-02-15,1998-11-06,Engineer
488984,Kendra,Junet,1965-01-18,1986-02-28,1992-11-12,Senior Staff
488632,Irena,Baalen,1965-01-20,1999-11-22,2001-02-10,Staff
488414,Changho,Gaughan,1965-01-10,1987-06-21,1991-07-13,Engineer
488115,Leah,Luke,1965-01-29,1995-08-23,1995-09-27,Assistant Engineer
487856,Jaewon,Mansanne,1965-01-18,1999-05-22,2000-04-29,Engineer
486955,Jaber,Feldmann,1965-01-09,1997-05-23,1998-08-05,Engineer
485817,Mahmut,Bolotov,1965-01-29,1995-01-10,1997-02-21,Engineer
483213,Phillip,Munch,1965-01-16,1991-09-02,1998-04-01,Technique Leader
482756,Shaowei,Back,1965-01-02,1996-07-30,1998-12-21,Senior Staff
482278,Sven,Hinsberger,1965-01-02,1989-09-11,1992-07-24,Senior Engineer
481807,Taegyun,Vieri,1965-01-23,1988-06-17,1989-03-03,Senior Engineer
481790,Haldun,Erie,1965-01-22,1996-09-12,1999-01-01,Senior Engineer
481467,Margareta,Polajnar,1965-01-03,1989-02-24,1996-07-01,Staff
481399,Amabile,Crelier,1965-01-05,1999-01-14,2000-04-07,Staff
481148,Gina,Decaestecker,1965-01-18,1986-06-20,1989-05-25,Engineer
480571,Anoosh,Wielonsky,1965-01-09,1994-08-04,1996-08-01,Engineer
480035,Sukumar,Georg,1965-01-26,1990-03-27,1990-08-26,Staff
479695,Masamitsu,Murrill,1965-01-06,1996-06-27,1999-06-23,Staff
478218,Djenana,Erol,1965-01-02,1999-01-31,1999-12-03,Engineer
478170,Doowon,Schoegge,1965-01-22,1994-05-29,1995-04-13,Engineer
477352,Nikolaos,Lorch,1965-01-12,1999-04-17,2002-03-07,Engineer
476488,Yuping,Kuhnemann,1965-01-30,1986-12-13,1994-07-07,Technique Leader
476361,Doohun,Preusig,1965-01-09,1985-04-13,1993-04-28,Technique Leader
475258,Fumiyo,Feinberg,1965-01-10,1987-11-22,2000-02-12,Senior Staff
474918,Rasikan,Khalil,1965-01-15,1985-02-10,1985-03-11,Engineer
474796,Zongyan,Shackel,1965-01-10,1986-11-09,1987-08-17,Technique Leader
474372,Monique,Cyre,1965-01-13,1986-02-13,1994-10-11,Staff
474331,Sugwoo,Eugenio,1965-01-29,1991-10-06,1994-03-02,Senior Staff
474257,Sungwon,Kornyak,1965-01-24,1991-04-04,1994-10-23,Staff
474162,Ung,Taubenfeld,1965-01-31,1999-10-14,2001-06-30,Engineer
473824,Shin,Puoti,1965-01-22,1996-12-20,1999-05-09,Staff
472440,Xuejia,Leppanen,1965-01-30,1998-08-25,2000-10-25,Staff
471939,Kazuhiko,Marshall,1965-01-27,1999-11-16,2001-06-04,Staff
471397,Nigel,Zirintsis,1965-02-01,1999-01-03,1999-07-23,Engineer
469805,Chaosheng,Shobatake,1965-01-21,1991-07-03,2001-09-15,Staff
469399,Hongzhu,Ruemmler,1965-01-25,1999-02-14,2000-06-06,Engineer
469104,Nadjib,Comellas,1965-01-21,1996-04-18,1999-01-22,Senior Engineer
468763,Sachin,Zlotek,1965-01-12,1985-03-11,1990-08-09,Senior Engineer
467591,Kiyotoshi,Hennebert,1965-01-17,1997-09-21,2001-03-06,Staff
466911,Stepehn,Markovitch,1965-01-11,1991-08-13,1995-08-07,Staff
464526,Berna,Comellas,1965-01-02,1995-09-07,2000-02-18,Staff
463472,Jaber,Sethi,1965-01-11,1995-06-06,2000-06-11,Technique Leader
463212,Ramya,Rossi,1965-01-09,1987-03-02,2001-09-02,Senior Engineer
462736,Larisa,Murtafg,1965-01-14,1991-02-25,1993-06-04,Staff
462067,Sampalli,Francisci,1965-01-29,1994-11-25,2001-10-17,Senior Staff
461801,Sumali,Cooman,1965-01-03,1992-02-16,1993-04-18,Staff
461723,Deborah,Basawa,1965-01-02,1991-04-30,1992-03-02,Assistant Engineer
461563,Sreenivas,Versino,1965-01-29,1985-08-24,1988-12-25,Senior Staff
461120,Shietung,Gelosh,1965-01-18,1996-03-26,2001-04-01,Senior Engineer
459846,Yuping,Sethi,1965-01-24,1997-12-28,1999-05-21,Staff
458919,Kaijung,Papadias,1965-01-12,1999-05-01,2001-04-12,Engineer
457938,Arch,Picco,1965-01-14,1993-06-07,1997-10-22,Staff
457653,Yakichi,Naumovich,1965-01-21,1988-06-12,1988-07-03,Technique Leader
456824,Aloke,Neiman,1965-01-13,1985-07-10,1996-07-23,Technique Leader
455415,Weiye,Krohm,1965-01-10,1990-10-29,2000-02-10,Staff
455364,Ranga,Plesums,1965-01-29,1990-01-28,1997-05-13,Senior Staff
455296,Mang,Sundgren,1965-01-01,1995-11-27,1999-07-13,Engineer
455243,Khoa,Bahk,1965-01-13,1991-06-10,1998-02-07,Senior Engineer
455113,Manohar,Rothenberg,1965-01-15,1999-04-22,2002-06-16,Staff
453996,Sugwoo,Weiland,1965-01-24,1997-04-23,1999-01-18,Senior Engineer
452970,Mari,Fargier,1965-01-06,1992-08-18,1995-12-11,Senior Engineer
452956,Gou,Thombley,1965-01-17,1987-04-09,1990-11-07,Senior Engineer
452196,Bartek,Snyers,1965-01-17,1987-01-14,2001-05-02,Staff
452137,Subir,Miake,1965-01-15,1993-07-11,1999-01-09,Engineer
450510,Boalin,Tramer,1965-01-25,1992-04-13,1993-02-24,Staff
450421,Selwyn,Munoz,1965-01-25,1989-07-05,1992-10-07,Engineer
450371,Eldridge,Pargaonkar,1965-01-21,1992-08-03,1999-09-04,Engineer
449966,Mabry,Knightly,1965-01-31,1994-01-04,2001-03-06,Staff
448165,Anyuan,Schwaller,1965-01-07,1993-08-31,2001-05-06,Senior Staff
447599,Heeju,Kemmerer,1965-01-17,1991-12-26,1996-02-15,Technique Leader
447290,Maria,Miculan,1965-01-08,1993-04-12,1998-05-08,Engineer
447232,Aleksander,Schaaf,1965-01-22,1995-05-26,2000-01-10,Senior Staff
447191,Dmitri,Rousseau,1965-01-17,1995-06-19,1997-05-26,Engineer
446785,Yuping,Papastamatiou,1965-01-30,1988-08-30,1992-01-16,Engineer
445723,Gaurav,Roison,1965-01-31,1986-10-22,1991-07-12,Senior Staff
445514,Tuval,Albarhamtoshy,1965-01-05,1990-09-24,1999-10-28,Technique Leader
445456,Apostol,Gruenwald,1965-01-12,1998-08-04,2000-03-18,Engineer
445201,Randi,Alblas,1965-01-22,1992-05-02,2000-01-27,Staff
444465,Prasadram,Bultermann,1965-01-13,1997-08-29,1998-10-25,Senior Engineer
444228,Xinglin,Busillo,1965-01-23,1998-10-08,1999-06-11,Senior Engineer
443873,Vatsa,Ramsay,1965-01-20,1994-02-04,2000-06-16,Staff
443632,Bernd,Conia,1965-01-10,1999-11-25,2002-04-25,Staff
443339,Shir,Krone,1965-01-04,1996-10-02,1998-09-07,Staff
